,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"eta_inducing[6, 0]",-0.45,0.986,-2.28,1.517,0.018,0.027,2823.221,1389.77,1.003
"eta_inducing[6, 1]",-0.137,1.024,-1.939,2.008,0.016,0.032,4361.565,1174.3,1.011
"eta_inducing[7, 0]",-0.318,0.945,-2.118,1.443,0.015,0.023,3824.807,1535.993,1.002
"eta_inducing[7, 1]",-0.144,0.998,-2.069,1.629,0.016,0.032,3906.672,1159.31,1.003
"eta_inducing[8, 0]",-0.098,0.92,-1.868,1.629,0.017,0.022,2933.098,1315.009,1.001
"eta_inducing[8, 1]",-0.185,0.926,-1.973,1.456,0.017,0.023,2960.183,1398.312,1.0
"eta_inducing[9, 0]",0.04,0.935,-1.67,1.787,0.015,0.023,3790.133,1536.878,1.003
"eta_inducing[9, 1]",-0.185,0.985,-1.907,1.777,0.016,0.027,3971.53,1415.431,1.0
"eta_inducing[10, 0]",0.189,0.941,-1.589,1.974,0.014,0.027,4691.251,1315.704,1.005
"eta_inducing[10, 1]",-0.216,0.954,-1.909,1.638,0.016,0.024,3664.558,1663.097,1.001
"eta_inducing[11, 0]",0.286,0.938,-1.522,1.971,0.015,0.023,3696.031,1363.646,1.0
"eta_inducing[11, 1]",-0.233,0.987,-2.108,1.62,0.016,0.025,3937.59,1469.753,1.003
"eta_inducing[12, 0]",0.36,0.954,-1.44,2.117,0.015,0.023,4290.424,1422.815,1.003
"eta_inducing[12, 1]",-0.227,1.0,-2.101,1.59,0.018,0.021,3209.831,1424.871,1.002
"eta_inducing[13, 0]",0.438,0.96,-1.181,2.412,0.017,0.023,3373.226,1534.882,1.004
"eta_inducing[13, 1]",-0.18,0.953,-1.827,1.67,0.015,0.029,3924.361,1256.021,1.006
"eta_inducing[14, 0]",0.477,0.952,-1.319,2.291,0.015,0.025,4242.712,1447.886,1.003
"eta_inducing[14, 1]",-0.19,1.0,-1.948,1.697,0.016,0.027,4002.323,1069.278,1.002
"eta_inducing[15, 0]",0.469,0.942,-1.372,2.123,0.016,0.021,3530.471,1702.175,1.0
"eta_inducing[15, 1]",-0.184,1.0,-1.965,1.724,0.015,0.025,4204.373,1047.455,1.004
"eta_inducing[16, 0]",0.445,0.971,-1.415,2.199,0.017,0.025,3293.176,1459.31,1.001
"eta_inducing[16, 1]",-0.181,0.958,-1.992,1.607,0.014,0.025,4373.906,1497.952,1.004
"eta_inducing[17, 0]",0.401,0.979,-1.475,2.151,0.016,0.026,3517.302,1476.776,1.005
"eta_inducing[17, 1]",-0.185,0.934,-2.043,1.476,0.014,0.023,4177.699,1427.006,1.003
"eta_inducing[18, 0]",0.348,1.001,-1.44,2.316,0.016,0.025,4136.015,1533.759,1.0
"eta_inducing[18, 1]",-0.198,1.027,-2.136,1.68,0.018,0.034,3350.742,1057.835,1.004
"eta_inducing[19, 0]",0.319,0.994,-1.508,2.207,0.016,0.025,3921.284,1390.851,1.002
"eta_inducing[19, 1]",-0.151,0.977,-2.011,1.62,0.016,0.024,3901.928,1529.124,1.002
"eta_inducing[20, 0]",0.286,0.911,-1.572,1.99,0.013,0.026,4807.051,1211.221,1.001
"eta_inducing[20, 1]",-0.132,0.985,-1.88,1.761,0.014,0.024,4657.744,1312.738,0.999
"eta_inducing[21, 0]",0.238,0.943,-1.531,1.994,0.017,0.021,3250.639,1601.527,1.003
"eta_inducing[21, 1]",-0.173,0.935,-1.889,1.651,0.013,0.025,5298.947,1343.04,1.008
"eta_inducing[22, 0]",0.141,0.932,-1.526,1.9,0.016,0.022,3423.994,1382.378,1.002
"eta_inducing[22, 1]",-0.141,0.961,-1.859,1.728,0.014,0.024,4403.175,1533.296,1.004
"eta_inducing[23, 0]",0.058,0.978,-1.837,1.871,0.016,0.027,3971.38,1086.645,1.001
"eta_inducing[23, 1]",-0.116,0.999,-2.049,1.703,0.016,0.028,4050.221,1161.056,1.004
"eta_inducing[24, 0]",-0.002,0.966,-1.798,1.783,0.019,0.022,2605.011,1288.243,1.001
"eta_inducing[24, 1]",-0.09,0.975,-1.922,1.662,0.014,0.025,4654.805,1687.917,1.003
"eta_inducing[25, 0]",-0.06,0.964,-1.811,1.726,0.015,0.025,4220.72,1474.179,1.001
"eta_inducing[25, 1]",-0.104,1.001,-2.097,1.677,0.015,0.029,4251.871,1227.838,1.002
"eta_inducing[26, 0]",-0.162,0.936,-1.907,1.518,0.016,0.022,3553.217,1455.43,1.002
"eta_inducing[26, 1]",-0.107,1.031,-2.017,1.797,0.016,0.025,3931.2,1372.314,1.002
"eta_inducing[27, 0]",-0.163,0.981,-2.057,1.596,0.015,0.024,4286.615,1581.956,1.003
"eta_inducing[27, 1]",-0.107,0.95,-1.728,1.737,0.016,0.025,3673.201,1088.343,1.001
"eta_inducing[28, 0]",-0.186,0.888,-1.888,1.392,0.013,0.021,4320.827,1283.764,1.003
"eta_inducing[28, 1]",-0.073,0.941,-1.695,1.802,0.016,0.026,3353.935,1307.275,1.001
"eta_inducing[29, 0]",-0.156,0.941,-2.008,1.549,0.015,0.023,3985.376,1453.242,1.005
"eta_inducing[29, 1]",-0.096,0.979,-1.939,1.752,0.015,0.023,4100.472,1536.036,1.0
"eta_inducing[30, 0]",-0.128,0.935,-1.954,1.564,0.016,0.024,3390.723,1444.609,1.003
