,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"eta_inducing_raw[35, 0]",0.288,0.966,-1.485,2.121,0.014,0.022,4515.409,1622.306,1.003
"eta_inducing_raw[35, 1]",-0.041,0.986,-1.884,1.823,0.016,0.026,3891.518,1400.327,1.007
"eta_inducing_raw[36, 0]",0.359,0.979,-1.481,2.202,0.018,0.032,3023.689,1144.842,1.001
"eta_inducing_raw[36, 1]",-0.062,0.983,-1.981,1.726,0.015,0.026,4361.526,1103.763,1.007
"eta_inducing_raw[37, 0]",0.363,0.948,-1.482,2.151,0.015,0.028,3753.078,836.149,1.006
"eta_inducing_raw[37, 1]",-0.04,1.016,-1.867,1.906,0.016,0.028,4279.73,1184.914,1.003
"eta_inducing_raw[38, 0]",0.371,0.97,-1.343,2.265,0.015,0.029,3804.858,1262.607,1.002
"eta_inducing_raw[38, 1]",0.005,0.992,-1.894,1.792,0.017,0.035,3516.076,1128.047,1.009
"eta_inducing_raw[39, 0]",0.352,0.955,-1.519,2.127,0.016,0.024,3510.97,1282.434,1.003
"eta_inducing_raw[39, 1]",-0.048,1.0,-1.837,1.876,0.017,0.025,3551.11,1378.252,1.0
"eta_inducing_raw[40, 0]",0.316,0.967,-1.462,2.145,0.017,0.03,3168.941,1205.454,1.004
"eta_inducing_raw[40, 1]",0.005,0.988,-1.722,1.914,0.015,0.031,4426.121,1326.886,1.003
"eta_inducing_raw[41, 0]",0.307,0.933,-1.49,2.011,0.014,0.025,4353.989,1386.592,1.004
"eta_inducing_raw[41, 1]",-0.046,0.953,-1.704,1.795,0.014,0.024,4585.417,1421.85,1.0
"eta_inducing_raw[42, 0]",0.214,0.96,-1.539,2.01,0.016,0.022,3688.266,1566.208,1.01
"eta_inducing_raw[42, 1]",-0.023,0.971,-1.904,1.709,0.013,0.026,5398.686,1333.78,1.003
"eta_inducing_raw[43, 0]",0.196,0.949,-1.589,1.975,0.013,0.023,5087.908,1403.078,1.004
"eta_inducing_raw[43, 1]",-0.014,0.997,-1.849,1.862,0.015,0.027,4425.099,1267.549,1.004
"eta_inducing_raw[44, 0]",0.154,0.949,-1.666,1.916,0.016,0.026,3704.026,1609.68,1.006
"eta_inducing_raw[44, 1]",-0.031,1.031,-1.983,1.852,0.018,0.025,3317.805,1389.675,1.002
"eta_inducing_raw[45, 0]",0.128,0.948,-1.577,1.943,0.016,0.024,3697.356,1466.577,1.003
