,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_weight[3, 32]",0.018,0.029,0.0,0.067,0.001,0.002,754.677,1099.062,1.004
"K_uu_weight[3, 33]",0.014,0.024,0.0,0.054,0.001,0.002,756.455,1099.062,1.004
"K_uu_weight[3, 34]",0.011,0.02,0.0,0.043,0.001,0.002,755.314,1099.062,1.004
"K_uu_weight[3, 35]",0.009,0.017,0.0,0.034,0.0,0.001,756.255,1123.112,1.004
"K_uu_weight[3, 36]",0.007,0.014,0.0,0.027,0.0,0.001,756.171,1123.112,1.004
"K_uu_weight[3, 37]",0.005,0.011,0.0,0.021,0.0,0.001,756.689,1123.112,1.004
"K_uu_weight[3, 38]",0.004,0.009,0.0,0.016,0.0,0.001,756.597,1164.047,1.004
"K_uu_weight[3, 39]",0.003,0.007,0.0,0.013,0.0,0.001,758.24,1178.546,1.004
"K_uu_weight[3, 40]",0.002,0.006,0.0,0.01,0.0,0.001,759.205,1178.546,1.004
"K_uu_weight[3, 41]",0.002,0.005,0.0,0.008,0.0,0.001,760.266,1178.546,1.004
"K_uu_weight[3, 42]",0.001,0.004,0.0,0.006,0.0,0.0,761.85,1193.423,1.004
"K_uu_weight[3, 43]",0.001,0.003,0.0,0.004,0.0,0.0,762.693,1178.632,1.004
"K_uu_weight[3, 44]",0.001,0.002,0.0,0.003,0.0,0.0,764.271,1178.632,1.004
"K_uu_weight[3, 45]",0.001,0.002,0.0,0.002,0.0,0.0,765.604,1178.632,1.004
"K_uu_weight[3, 46]",0.0,0.002,0.0,0.002,0.0,0.0,764.619,1178.632,1.004
"K_uu_weight[3, 47]",0.0,0.001,0.0,0.001,0.0,0.0,765.152,1178.632,1.004
"K_uu_weight[3, 48]",0.0,0.001,0.0,0.001,0.0,0.0,765.793,1208.227,1.004
"K_uu_weight[3, 49]",0.0,0.001,0.0,0.001,0.0,0.0,765.839,1178.203,1.004
"K_uu_weight[4, 0]",0.892,0.418,0.303,1.707,0.012,0.012,1055.588,1471.528,1.004
"K_uu_weight[4, 1]",0.929,0.429,0.326,1.764,0.013,0.012,1089.049,1426.481,1.004
"K_uu_weight[4, 2]",0.957,0.437,0.356,1.82,0.013,0.012,1118.96,1462.651,1.004
