,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"eta_inducing[39, 1]",-0.051,1.013,-1.863,1.894,0.018,0.024,3156.233,1447.15,1.004
"eta_inducing[40, 0]",0.364,0.931,-1.363,2.165,0.016,0.021,3236.997,1564.401,1.001
"eta_inducing[40, 1]",-0.082,1.044,-1.92,1.985,0.019,0.025,3163.833,1156.564,1.002
"eta_inducing[41, 0]",0.304,0.953,-1.428,2.016,0.019,0.024,2500.337,1401.13,1.003
"eta_inducing[41, 1]",-0.043,1.028,-1.797,2.011,0.016,0.027,4215.879,1220.966,1.001
"eta_inducing[42, 0]",0.267,1.023,-1.638,2.168,0.017,0.024,3474.186,1541.117,1.002
"eta_inducing[42, 1]",-0.051,0.972,-1.837,1.771,0.016,0.022,3777.786,1608.181,1.0
"eta_inducing[43, 0]",0.195,1.003,-1.51,2.339,0.019,0.026,2909.227,1364.363,1.007
"eta_inducing[43, 1]",-0.04,1.003,-1.794,1.932,0.016,0.026,3829.845,1159.238,1.003
"eta_inducing[44, 0]",0.128,1.01,-1.661,2.216,0.019,0.03,2831.606,1022.357,1.001
"eta_inducing[44, 1]",-0.041,1.028,-2.072,1.867,0.018,0.031,3408.95,1146.228,1.002
"eta_inducing[45, 0]",0.13,0.956,-1.671,1.948,0.014,0.025,4595.034,1556.977,1.009
"eta_inducing[45, 1]",-0.015,1.026,-1.907,1.851,0.015,0.032,4797.448,1335.796,1.002
"eta_inducing[46, 0]",0.098,0.966,-1.729,1.934,0.016,0.024,3794.514,1609.581,1.0
"eta_inducing[46, 1]",-0.032,1.01,-1.969,1.793,0.017,0.022,3527.651,1625.323,1.001
"eta_inducing[47, 0]",0.079,1.002,-1.68,2.067,0.018,0.026,2923.992,1291.492,1.007
"eta_inducing[47, 1]",0.01,0.968,-1.803,1.729,0.017,0.021,3130.11,1491.446,1.0
"eta_inducing[48, 0]",0.058,0.999,-1.785,1.993,0.017,0.027,3294.195,1280.092,1.001
"eta_inducing[48, 1]",-0.051,0.975,-1.819,1.833,0.019,0.029,2582.275,833.805,1.002
"eta_inducing[49, 0]",0.041,1.011,-1.871,1.86,0.016,0.031,4123.282,1333.616,1.006
"eta_inducing[49, 1]",-0.013,0.994,-1.941,1.728,0.018,0.029,3096.93,1215.744,1.001
"K_uu_weight[0, 0]",0.981,0.451,0.304,1.805,0.012,0.013,1274.384,1579.983,0.999
"K_uu_weight[0, 1]",0.975,0.449,0.291,1.786,0.012,0.013,1272.911,1606.75,0.999
"K_uu_weight[0, 2]",0.957,0.443,0.295,1.76,0.012,0.013,1264.327,1634.498,0.999
"K_uu_weight[0, 3]",0.93,0.433,0.28,1.715,0.012,0.012,1253.945,1634.412,0.999
"K_uu_weight[0, 4]",0.892,0.421,0.264,1.66,0.012,0.012,1236.559,1634.584,0.999
"K_uu_weight[0, 5]",0.846,0.406,0.245,1.584,0.011,0.012,1217.786,1606.696,0.999
"K_uu_weight[0, 6]",0.794,0.39,0.233,1.514,0.011,0.011,1184.611,1606.641,1.0
"K_uu_weight[0, 7]",0.737,0.372,0.214,1.443,0.011,0.011,1143.18,1489.403,1.0
"K_uu_weight[0, 8]",0.677,0.353,0.157,1.343,0.01,0.01,1102.628,1513.821,1.0
"K_uu_weight[0, 9]",0.615,0.333,0.115,1.227,0.01,0.01,1063.981,1423.921,1.0
"K_uu_weight[0, 10]",0.554,0.313,0.097,1.134,0.01,0.009,1023.021,1327.38,1.001
"K_uu_weight[0, 11]",0.494,0.292,0.079,1.043,0.009,0.008,988.848,1317.779,1.001
"K_uu_weight[0, 12]",0.437,0.271,0.06,0.941,0.008,0.008,957.417,1315.966,1.001
"K_uu_weight[0, 13]",0.383,0.25,0.036,0.834,0.008,0.007,931.548,1244.029,1.001
"K_uu_weight[0, 14]",0.332,0.229,0.016,0.736,0.007,0.007,910.145,1229.145,1.002
"K_uu_weight[0, 15]",0.286,0.208,0.003,0.653,0.007,0.006,895.656,1199.894,1.002
"K_uu_weight[0, 16]",0.245,0.188,0.007,0.584,0.006,0.006,881.347,1185.831,1.002
"K_uu_weight[0, 17]",0.208,0.169,0.001,0.51,0.005,0.005,871.449,1097.944,1.002
"K_uu_weight[0, 18]",0.175,0.15,0.002,0.446,0.005,0.005,863.465,1110.482,1.002
"K_uu_weight[0, 19]",0.146,0.133,0.001,0.384,0.004,0.005,857.683,1016.366,1.002
"K_uu_weight[0, 20]",0.122,0.117,0.0,0.33,0.004,0.004,853.929,1050.021,1.002
"K_uu_weight[0, 21]",0.1,0.102,0.0,0.282,0.003,0.004,850.991,1025.609,1.003
"K_uu_weight[0, 22]",0.082,0.089,0.0,0.238,0.003,0.004,848.067,1043.692,1.003
"K_uu_weight[0, 23]",0.067,0.077,0.0,0.198,0.002,0.003,847.525,1044.192,1.003
"K_uu_weight[0, 24]",0.054,0.066,0.0,0.166,0.002,0.003,846.241,1044.895,1.003
"K_uu_weight[0, 25]",0.044,0.056,0.0,0.137,0.002,0.003,845.701,1044.895,1.003
"K_uu_weight[0, 26]",0.035,0.048,0.0,0.112,0.001,0.002,843.918,961.991,1.003
"K_uu_weight[0, 27]",0.028,0.041,0.0,0.092,0.001,0.002,845.084,961.991,1.003
"K_uu_weight[0, 28]",0.022,0.034,0.0,0.075,0.001,0.002,846.436,975.929,1.003
"K_uu_weight[0, 29]",0.018,0.029,0.0,0.061,0.001,0.002,847.319,975.929,1.003
"K_uu_weight[0, 30]",0.014,0.024,0.0,0.048,0.001,0.002,848.535,970.248,1.003
"K_uu_weight[0, 31]",0.011,0.02,0.0,0.038,0.001,0.001,849.902,960.262,1.003
"K_uu_weight[0, 32]",0.008,0.017,0.0,0.03,0.0,0.001,850.652,959.395,1.003
"K_uu_weight[0, 33]",0.007,0.014,0.0,0.024,0.0,0.001,851.999,959.395,1.003
"K_uu_weight[0, 34]",0.005,0.011,0.0,0.019,0.0,0.001,853.048,991.443,1.003
"K_uu_weight[0, 35]",0.004,0.009,0.0,0.014,0.0,0.001,854.228,991.443,1.003
"K_uu_weight[0, 36]",0.003,0.007,0.0,0.011,0.0,0.001,855.452,991.443,1.003
"K_uu_weight[0, 37]",0.002,0.006,0.0,0.008,0.0,0.001,856.041,991.443,1.003
"K_uu_weight[0, 38]",0.002,0.005,0.0,0.006,0.0,0.001,856.021,991.443,1.003
"K_uu_weight[0, 39]",0.001,0.004,0.0,0.005,0.0,0.0,856.366,997.496,1.003
"K_uu_weight[0, 40]",0.001,0.003,0.0,0.004,0.0,0.0,857.665,997.496,1.003
"K_uu_weight[0, 41]",0.001,0.003,0.0,0.003,0.0,0.0,857.851,997.496,1.003
