,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_weight[28, 41]",0.381,0.254,0.04,0.868,0.007,0.007,1195.6,1031.076,1.003
"K_uu_weight[28, 42]",0.331,0.232,0.027,0.774,0.006,0.007,1129.238,958.107,1.003
"K_uu_weight[28, 43]",0.285,0.211,0.011,0.679,0.006,0.006,1089.916,954.04,1.003
"K_uu_weight[28, 44]",0.244,0.19,0.003,0.59,0.005,0.006,1067.482,961.65,1.003
"K_uu_weight[28, 45]",0.207,0.17,0.002,0.512,0.005,0.005,1051.79,935.373,1.003
"K_uu_weight[28, 46]",0.174,0.151,0.001,0.446,0.004,0.005,1030.409,857.206,1.003
"K_uu_weight[28, 47]",0.146,0.134,0.001,0.381,0.004,0.004,1015.165,907.841,1.003
"K_uu_weight[28, 48]",0.121,0.117,0.0,0.324,0.003,0.004,1001.766,916.769,1.003
"K_uu_weight[28, 49]",0.1,0.102,0.0,0.276,0.003,0.004,995.514,954.683,1.003
"K_uu_weight[29, 0]",0.017,0.027,0.0,0.061,0.001,0.001,962.423,945.835,1.002
"K_uu_weight[29, 1]",0.022,0.032,0.0,0.076,0.001,0.001,963.535,932.445,1.002
"K_uu_weight[29, 2]",0.028,0.038,0.0,0.093,0.001,0.002,966.861,937.037,1.002
"K_uu_weight[29, 3]",0.035,0.046,0.0,0.114,0.001,0.002,970.521,946.04,1.003
"K_uu_weight[29, 4]",0.043,0.055,0.0,0.139,0.001,0.002,974.482,946.04,1.003
"K_uu_weight[29, 5]",0.054,0.064,0.0,0.167,0.002,0.002,979.327,990.511,1.003
"K_uu_weight[29, 6]",0.067,0.076,0.0,0.198,0.002,0.003,981.633,886.855,1.003
"K_uu_weight[29, 7]",0.082,0.088,0.0,0.233,0.002,0.003,986.145,886.855,1.003
"K_uu_weight[29, 8]",0.1,0.102,0.0,0.276,0.003,0.004,995.514,954.683,1.003
"K_uu_weight[29, 9]",0.121,0.117,0.0,0.324,0.003,0.004,1001.766,916.769,1.003
"K_uu_weight[29, 10]",0.146,0.134,0.001,0.381,0.004,0.004,1015.165,907.841,1.003
"K_uu_weight[29, 11]",0.174,0.151,0.001,0.446,0.004,0.005,1030.409,857.206,1.003
"K_uu_weight[29, 12]",0.207,0.17,0.002,0.512,0.005,0.005,1051.79,935.373,1.003
"K_uu_weight[29, 13]",0.244,0.19,0.003,0.59,0.005,0.006,1067.482,961.65,1.003
"K_uu_weight[29, 14]",0.285,0.211,0.011,0.679,0.006,0.006,1089.916,954.04,1.003
"K_uu_weight[29, 15]",0.331,0.232,0.027,0.774,0.006,0.007,1129.238,958.107,1.003
"K_uu_weight[29, 16]",0.381,0.254,0.04,0.868,0.007,0.007,1195.6,1031.076,1.003
"K_uu_weight[29, 17]",0.435,0.275,0.056,0.966,0.007,0.008,1267.076,1031.21,1.003
"K_uu_weight[29, 18]",0.493,0.296,0.08,1.067,0.008,0.009,1360.919,1056.67,1.002
"K_uu_weight[29, 19]",0.552,0.317,0.103,1.17,0.008,0.009,1398.094,1050.131,1.002
"K_uu_weight[29, 20]",0.613,0.337,0.139,1.277,0.009,0.01,1433.65,1376.251,1.003
"K_uu_weight[29, 21]",0.675,0.357,0.157,1.367,0.009,0.01,1471.31,1510.315,1.002
"K_uu_weight[29, 22]",0.734,0.375,0.181,1.457,0.009,0.011,1507.479,1472.286,1.002
"K_uu_weight[29, 23]",0.791,0.393,0.244,1.577,0.01,0.011,1535.507,1564.947,1.002
"K_uu_weight[29, 24]",0.843,0.409,0.263,1.639,0.01,0.011,1545.585,1601.327,1.002
"K_uu_weight[29, 25]",0.889,0.423,0.274,1.696,0.01,0.012,1527.299,1630.263,1.001
"K_uu_weight[29, 26]",0.926,0.434,0.311,1.772,0.011,0.012,1511.794,1637.989,1.001
"K_uu_weight[29, 27]",0.954,0.443,0.325,1.812,0.011,0.012,1516.778,1582.253,1.001
"K_uu_weight[29, 28]",0.971,0.448,0.333,1.841,0.011,0.012,1504.277,1582.253,1.001
"K_uu_weight[29, 29]",0.977,0.45,0.336,1.851,0.011,0.012,1502.823,1556.212,1.001
"K_uu_weight[29, 30]",0.971,0.448,0.333,1.841,0.011,0.012,1504.277,1582.253,1.001
"K_uu_weight[29, 31]",0.954,0.443,0.325,1.812,0.011,0.012,1516.778,1582.253,1.001
"K_uu_weight[29, 32]",0.926,0.434,0.311,1.772,0.011,0.012,1511.794,1637.989,1.001
"K_uu_weight[29, 33]",0.889,0.423,0.274,1.696,0.01,0.012,1527.299,1630.263,1.001
"K_uu_weight[29, 34]",0.843,0.409,0.263,1.639,0.01,0.011,1545.585,1601.327,1.002
"K_uu_weight[29, 35]",0.791,0.393,0.244,1.577,0.01,0.011,1535.507,1564.947,1.002
"K_uu_weight[29, 36]",0.734,0.375,0.181,1.457,0.009,0.011,1507.479,1472.286,1.002
"K_uu_weight[29, 37]",0.675,0.357,0.157,1.367,0.009,0.01,1471.31,1510.315,1.002
"K_uu_weight[29, 38]",0.613,0.337,0.139,1.277,0.009,0.01,1433.65,1376.251,1.003
"K_uu_weight[29, 39]",0.552,0.317,0.103,1.17,0.008,0.009,1398.094,1050.131,1.002
"K_uu_weight[29, 40]",0.493,0.296,0.08,1.067,0.008,0.009,1360.919,1056.67,1.002
"K_uu_weight[29, 41]",0.435,0.275,0.056,0.966,0.007,0.008,1267.076,1031.21,1.003
"K_uu_weight[29, 42]",0.381,0.254,0.04,0.868,0.007,0.007,1195.6,1031.076,1.003
"K_uu_weight[29, 43]",0.331,0.232,0.027,0.774,0.006,0.007,1129.238,958.107,1.003
"K_uu_weight[29, 44]",0.285,0.211,0.011,0.679,0.006,0.006,1089.916,954.04,1.003
"K_uu_weight[29, 45]",0.244,0.19,0.003,0.59,0.005,0.006,1067.482,961.65,1.003
"K_uu_weight[29, 46]",0.207,0.17,0.002,0.512,0.005,0.005,1051.79,935.373,1.003
"K_uu_weight[29, 47]",0.174,0.151,0.001,0.446,0.004,0.005,1030.409,857.206,1.003
"K_uu_weight[29, 48]",0.146,0.134,0.001,0.381,0.004,0.004,1015.165,907.841,1.003
"K_uu_weight[29, 49]",0.121,0.117,0.0,0.324,0.003,0.004,1001.766,916.769,1.003
"K_uu_weight[30, 0]",0.013,0.022,0.0,0.048,0.001,0.001,960.797,945.835,1.002
"K_uu_weight[30, 1]",0.017,0.027,0.0,0.061,0.001,0.001,962.423,945.835,1.002
"K_uu_weight[30, 2]",0.022,0.032,0.0,0.076,0.001,0.001,963.535,932.445,1.002
"K_uu_weight[30, 3]",0.028,0.038,0.0,0.093,0.001,0.002,966.861,937.037,1.002
"K_uu_weight[30, 4]",0.035,0.046,0.0,0.114,0.001,0.002,970.521,946.04,1.003
"K_uu_weight[30, 5]",0.043,0.055,0.0,0.139,0.001,0.002,974.482,946.04,1.003
"K_uu_weight[30, 6]",0.054,0.064,0.0,0.167,0.002,0.002,979.327,990.511,1.003
"K_uu_weight[30, 7]",0.067,0.076,0.0,0.198,0.002,0.003,981.633,886.855,1.003
"K_uu_weight[30, 8]",0.082,0.088,0.0,0.233,0.002,0.003,986.145,886.855,1.003
"K_uu_weight[30, 9]",0.1,0.102,0.0,0.276,0.003,0.004,995.514,954.683,1.003
"K_uu_weight[30, 10]",0.121,0.117,0.0,0.324,0.003,0.004,1001.766,916.769,1.003
"K_uu_weight[30, 11]",0.146,0.134,0.001,0.381,0.004,0.004,1015.165,907.841,1.003
"K_uu_weight[30, 12]",0.174,0.151,0.001,0.446,0.004,0.005,1030.409,857.206,1.003
"K_uu_weight[30, 13]",0.207,0.17,0.002,0.512,0.005,0.005,1051.79,935.373,1.003
"K_uu_weight[30, 14]",0.244,0.19,0.003,0.59,0.005,0.006,1067.482,961.65,1.003
"K_uu_weight[30, 15]",0.285,0.211,0.011,0.679,0.006,0.006,1089.916,954.04,1.003
"K_uu_weight[30, 16]",0.331,0.232,0.027,0.774,0.006,0.007,1129.238,958.107,1.003
"K_uu_weight[30, 17]",0.381,0.254,0.04,0.868,0.007,0.007,1195.6,1031.076,1.003
"K_uu_weight[30, 18]",0.435,0.275,0.056,0.966,0.007,0.008,1267.076,1031.21,1.003
"K_uu_weight[30, 19]",0.493,0.296,0.08,1.067,0.008,0.009,1360.919,1056.67,1.002
"K_uu_weight[30, 20]",0.552,0.317,0.103,1.17,0.008,0.009,1398.094,1050.131,1.002
"K_uu_weight[30, 21]",0.613,0.337,0.139,1.277,0.009,0.01,1433.65,1376.251,1.003
"K_uu_weight[30, 22]",0.675,0.357,0.157,1.367,0.009,0.01,1471.31,1510.315,1.002
"K_uu_weight[30, 23]",0.734,0.375,0.181,1.457,0.009,0.011,1507.479,1472.286,1.002
"K_uu_weight[30, 24]",0.791,0.393,0.244,1.577,0.01,0.011,1535.507,1564.947,1.002
"K_uu_weight[30, 25]",0.843,0.409,0.263,1.639,0.01,0.011,1545.585,1601.327,1.002
"K_uu_weight[30, 26]",0.889,0.423,0.274,1.696,0.01,0.012,1527.299,1630.263,1.001
"K_uu_weight[30, 27]",0.926,0.434,0.311,1.772,0.011,0.012,1511.794,1637.989,1.001
"K_uu_weight[30, 28]",0.954,0.443,0.325,1.812,0.011,0.012,1516.778,1582.253,1.001
"K_uu_weight[30, 29]",0.971,0.448,0.333,1.841,0.011,0.012,1504.277,1582.253,1.001
"K_uu_weight[30, 30]",0.977,0.45,0.336,1.851,0.011,0.012,1502.823,1556.212,1.001
"K_uu_weight[30, 31]",0.971,0.448,0.333,1.841,0.011,0.012,1504.277,1582.253,1.001
"K_uu_weight[30, 32]",0.954,0.443,0.325,1.812,0.011,0.012,1516.778,1582.253,1.001
"K_uu_weight[30, 33]",0.926,0.434,0.311,1.772,0.011,0.012,1511.794,1637.989,1.001
"K_uu_weight[30, 34]",0.889,0.423,0.274,1.696,0.01,0.012,1527.299,1630.263,1.001
"K_uu_weight[30, 35]",0.843,0.409,0.263,1.639,0.01,0.011,1545.585,1601.327,1.002
"K_uu_weight[30, 36]",0.791,0.393,0.244,1.577,0.01,0.011,1535.507,1564.947,1.002
"K_uu_weight[30, 37]",0.734,0.375,0.181,1.457,0.009,0.011,1507.479,1472.286,1.002
"K_uu_weight[30, 38]",0.675,0.357,0.157,1.367,0.009,0.01,1471.31,1510.315,1.002
"K_uu_weight[30, 39]",0.613,0.337,0.139,1.277,0.009,0.01,1433.65,1376.251,1.003
"K_uu_weight[30, 40]",0.552,0.317,0.103,1.17,0.008,0.009,1398.094,1050.131,1.002
"K_uu_weight[30, 41]",0.493,0.296,0.08,1.067,0.008,0.009,1360.919,1056.67,1.002
"K_uu_weight[30, 42]",0.435,0.275,0.056,0.966,0.007,0.008,1267.076,1031.21,1.003
"K_uu_weight[30, 43]",0.381,0.254,0.04,0.868,0.007,0.007,1195.6,1031.076,1.003
"K_uu_weight[30, 44]",0.331,0.232,0.027,0.774,0.006,0.007,1129.238,958.107,1.003
"K_uu_weight[30, 45]",0.285,0.211,0.011,0.679,0.006,0.006,1089.916,954.04,1.003
