,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_workout[36, 42]",0.072,0.081,0.007,0.202,0.004,0.011,886.42,664.121,1.004
"K_uu_workout[36, 43]",0.072,0.081,0.007,0.202,0.004,0.011,888.702,664.121,1.004
"K_uu_workout[36, 44]",0.071,0.08,0.007,0.202,0.004,0.011,894.308,664.121,1.004
"K_uu_workout[36, 45]",0.071,0.08,0.007,0.201,0.004,0.011,899.245,664.121,1.004
"K_uu_workout[36, 46]",0.071,0.08,0.007,0.201,0.004,0.011,903.076,664.121,1.004
"K_uu_workout[36, 47]",0.071,0.08,0.007,0.201,0.004,0.011,907.633,664.121,1.004
"K_uu_workout[36, 48]",0.071,0.08,0.007,0.201,0.004,0.011,912.836,659.925,1.004
"K_uu_workout[36, 49]",0.07,0.08,0.007,0.199,0.004,0.011,920.361,664.361,1.004
"K_uu_workout[37, 0]",0.06,0.072,0.003,0.18,0.004,0.009,1145.863,694.047,1.004
"K_uu_workout[37, 1]",0.061,0.072,0.004,0.182,0.004,0.009,1132.318,679.376,1.004
"K_uu_workout[37, 2]",0.061,0.073,0.005,0.184,0.004,0.009,1123.567,679.376,1.004
"K_uu_workout[37, 3]",0.062,0.073,0.004,0.184,0.004,0.009,1118.347,659.669,1.004
"K_uu_workout[37, 4]",0.062,0.073,0.004,0.185,0.004,0.009,1109.003,659.669,1.004
"K_uu_workout[37, 5]",0.063,0.074,0.005,0.185,0.004,0.01,1100.729,659.669,1.004
"K_uu_workout[37, 6]",0.063,0.074,0.005,0.186,0.004,0.01,1090.533,646.135,1.004
"K_uu_workout[37, 7]",0.064,0.075,0.005,0.187,0.004,0.01,1077.919,646.135,1.004
"K_uu_workout[37, 8]",0.064,0.075,0.005,0.187,0.004,0.01,1067.145,646.135,1.004
"K_uu_workout[37, 9]",0.065,0.075,0.005,0.188,0.004,0.01,1058.333,646.093,1.004
"K_uu_workout[37, 10]",0.065,0.076,0.005,0.188,0.004,0.01,1041.804,646.093,1.004
"K_uu_workout[37, 11]",0.066,0.076,0.006,0.19,0.004,0.01,1032.185,646.093,1.004
"K_uu_workout[37, 12]",0.066,0.076,0.007,0.192,0.004,0.01,1020.034,646.093,1.004
"K_uu_workout[37, 13]",0.067,0.077,0.006,0.192,0.004,0.01,1010.023,646.093,1.004
"K_uu_workout[37, 14]",0.067,0.077,0.007,0.193,0.004,0.01,1000.556,641.819,1.004
"K_uu_workout[37, 15]",0.067,0.077,0.007,0.194,0.004,0.01,992.063,641.819,1.004
"K_uu_workout[37, 16]",0.068,0.078,0.006,0.194,0.004,0.011,982.548,641.819,1.004
"K_uu_workout[37, 17]",0.068,0.078,0.006,0.194,0.004,0.011,973.785,655.064,1.004
"K_uu_workout[37, 18]",0.069,0.078,0.006,0.194,0.004,0.011,964.883,655.064,1.004
"K_uu_workout[37, 19]",0.069,0.078,0.007,0.196,0.004,0.011,955.521,655.064,1.004
"K_uu_workout[37, 20]",0.069,0.079,0.007,0.197,0.004,0.011,947.497,664.361,1.004
"K_uu_workout[37, 21]",0.07,0.079,0.006,0.197,0.004,0.011,940.5,664.361,1.004
"K_uu_workout[37, 22]",0.07,0.079,0.006,0.197,0.004,0.011,932.745,664.361,1.004
"K_uu_workout[37, 23]",0.07,0.079,0.007,0.197,0.004,0.011,926.498,664.361,1.004
"K_uu_workout[37, 24]",0.07,0.08,0.007,0.199,0.004,0.011,920.361,664.361,1.004
"K_uu_workout[37, 25]",0.071,0.08,0.007,0.201,0.004,0.011,912.836,659.925,1.004
"K_uu_workout[37, 26]",0.071,0.08,0.007,0.201,0.004,0.011,907.633,664.121,1.004
"K_uu_workout[37, 27]",0.071,0.08,0.007,0.201,0.004,0.011,903.076,664.121,1.004
"K_uu_workout[37, 28]",0.071,0.08,0.007,0.201,0.004,0.011,899.245,664.121,1.004
"K_uu_workout[37, 29]",0.071,0.08,0.007,0.202,0.004,0.011,894.308,664.121,1.004
"K_uu_workout[37, 30]",0.072,0.081,0.007,0.202,0.004,0.011,888.702,664.121,1.004
"K_uu_workout[37, 31]",0.072,0.081,0.007,0.202,0.004,0.011,886.42,664.121,1.004
"K_uu_workout[37, 32]",0.072,0.081,0.007,0.202,0.004,0.011,883.685,664.121,1.004
"K_uu_workout[37, 33]",0.072,0.081,0.007,0.202,0.004,0.011,881.91,668.391,1.004
"K_uu_workout[37, 34]",0.072,0.081,0.007,0.203,0.004,0.011,879.548,668.391,1.004
"K_uu_workout[37, 35]",0.072,0.081,0.007,0.203,0.004,0.011,878.076,668.391,1.004
"K_uu_workout[37, 36]",0.072,0.081,0.007,0.203,0.004,0.011,873.541,668.391,1.004
"K_uu_workout[37, 37]",0.072,0.081,0.007,0.203,0.004,0.011,873.401,668.391,1.004
"K_uu_workout[37, 38]",0.072,0.081,0.007,0.203,0.004,0.011,873.541,668.391,1.004
"K_uu_workout[37, 39]",0.072,0.081,0.007,0.203,0.004,0.011,878.076,668.391,1.004
"K_uu_workout[37, 40]",0.072,0.081,0.007,0.203,0.004,0.011,879.548,668.391,1.004
"K_uu_workout[37, 41]",0.072,0.081,0.007,0.202,0.004,0.011,881.91,668.391,1.004
"K_uu_workout[37, 42]",0.072,0.081,0.007,0.202,0.004,0.011,883.685,664.121,1.004
"K_uu_workout[37, 43]",0.072,0.081,0.007,0.202,0.004,0.011,886.42,664.121,1.004
"K_uu_workout[37, 44]",0.072,0.081,0.007,0.202,0.004,0.011,888.702,664.121,1.004
"K_uu_workout[37, 45]",0.071,0.08,0.007,0.202,0.004,0.011,894.308,664.121,1.004
"K_uu_workout[37, 46]",0.071,0.08,0.007,0.201,0.004,0.011,899.245,664.121,1.004
"K_uu_workout[37, 47]",0.071,0.08,0.007,0.201,0.004,0.011,903.076,664.121,1.004
"K_uu_workout[37, 48]",0.071,0.08,0.007,0.201,0.004,0.011,907.633,664.121,1.004
"K_uu_workout[37, 49]",0.071,0.08,0.007,0.201,0.004,0.011,912.836,659.925,1.004
"K_uu_workout[38, 0]",0.06,0.071,0.002,0.179,0.003,0.009,1152.694,688.795,1.004
"K_uu_workout[38, 1]",0.06,0.072,0.003,0.18,0.004,0.009,1145.863,694.047,1.004
"K_uu_workout[38, 2]",0.061,0.072,0.004,0.182,0.004,0.009,1132.318,679.376,1.004
"K_uu_workout[38, 3]",0.061,0.073,0.005,0.184,0.004,0.009,1123.567,679.376,1.004
"K_uu_workout[38, 4]",0.062,0.073,0.004,0.184,0.004,0.009,1118.347,659.669,1.004
"K_uu_workout[38, 5]",0.062,0.073,0.004,0.185,0.004,0.009,1109.003,659.669,1.004
"K_uu_workout[38, 6]",0.063,0.074,0.005,0.185,0.004,0.01,1100.729,659.669,1.004
"K_uu_workout[38, 7]",0.063,0.074,0.005,0.186,0.004,0.01,1090.533,646.135,1.004
"K_uu_workout[38, 8]",0.064,0.075,0.005,0.187,0.004,0.01,1077.919,646.135,1.004
"K_uu_workout[38, 9]",0.064,0.075,0.005,0.187,0.004,0.01,1067.145,646.135,1.004
"K_uu_workout[38, 10]",0.065,0.075,0.005,0.188,0.004,0.01,1058.333,646.093,1.004
"K_uu_workout[38, 11]",0.065,0.076,0.005,0.188,0.004,0.01,1041.804,646.093,1.004
"K_uu_workout[38, 12]",0.066,0.076,0.006,0.19,0.004,0.01,1032.185,646.093,1.004
"K_uu_workout[38, 13]",0.066,0.076,0.007,0.192,0.004,0.01,1020.034,646.093,1.004
"K_uu_workout[38, 14]",0.067,0.077,0.006,0.192,0.004,0.01,1010.023,646.093,1.004
"K_uu_workout[38, 15]",0.067,0.077,0.007,0.193,0.004,0.01,1000.556,641.819,1.004
"K_uu_workout[38, 16]",0.067,0.077,0.007,0.194,0.004,0.01,992.063,641.819,1.004
"K_uu_workout[38, 17]",0.068,0.078,0.006,0.194,0.004,0.011,982.548,641.819,1.004
"K_uu_workout[38, 18]",0.068,0.078,0.006,0.194,0.004,0.011,973.785,655.064,1.004
"K_uu_workout[38, 19]",0.069,0.078,0.006,0.194,0.004,0.011,964.883,655.064,1.004
"K_uu_workout[38, 20]",0.069,0.078,0.007,0.196,0.004,0.011,955.521,655.064,1.004
"K_uu_workout[38, 21]",0.069,0.079,0.007,0.197,0.004,0.011,947.497,664.361,1.004
"K_uu_workout[38, 22]",0.07,0.079,0.006,0.197,0.004,0.011,940.5,664.361,1.004
"K_uu_workout[38, 23]",0.07,0.079,0.006,0.197,0.004,0.011,932.745,664.361,1.004
"K_uu_workout[38, 24]",0.07,0.079,0.007,0.197,0.004,0.011,926.498,664.361,1.004
"K_uu_workout[38, 25]",0.07,0.08,0.007,0.199,0.004,0.011,920.361,664.361,1.004
