,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_workout[27, 26]",0.15,0.142,0.015,0.399,0.004,0.009,860.96,1074.01,1.005
"K_uu_workout[27, 27]",0.15,0.142,0.015,0.399,0.004,0.009,860.642,1074.01,1.005
"K_uu_workout[27, 28]",0.15,0.142,0.015,0.399,0.004,0.009,860.96,1074.01,1.005
"K_uu_workout[27, 29]",0.15,0.142,0.015,0.399,0.004,0.009,861.652,1049.551,1.005
"K_uu_workout[27, 30]",0.15,0.142,0.015,0.399,0.004,0.009,860.979,1053.985,1.005
"K_uu_workout[27, 31]",0.15,0.142,0.016,0.4,0.004,0.009,860.679,1053.985,1.005
"K_uu_workout[27, 32]",0.15,0.142,0.016,0.399,0.004,0.009,860.511,1053.985,1.005
"K_uu_workout[27, 33]",0.149,0.142,0.016,0.398,0.004,0.009,869.196,1042.365,1.005
"K_uu_workout[27, 34]",0.149,0.141,0.015,0.397,0.004,0.009,868.771,1042.365,1.005
"K_uu_workout[27, 35]",0.148,0.141,0.015,0.395,0.004,0.009,865.535,1036.573,1.005
"K_uu_workout[27, 36]",0.148,0.141,0.015,0.394,0.004,0.009,863.987,1025.23,1.005
"K_uu_workout[27, 37]",0.147,0.141,0.015,0.392,0.004,0.009,865.379,1046.093,1.005
"K_uu_workout[27, 38]",0.147,0.14,0.015,0.39,0.004,0.009,866.538,1046.093,1.005
"K_uu_workout[27, 39]",0.146,0.14,0.015,0.388,0.004,0.009,872.122,1046.093,1.005
"K_uu_workout[27, 40]",0.146,0.139,0.015,0.386,0.004,0.009,874.233,1045.947,1.005
"K_uu_workout[27, 41]",0.145,0.139,0.015,0.386,0.004,0.009,873.77,1081.783,1.005
"K_uu_workout[27, 42]",0.144,0.139,0.014,0.382,0.004,0.009,870.988,1080.592,1.005
"K_uu_workout[27, 43]",0.143,0.138,0.015,0.382,0.004,0.009,871.33,1095.46,1.005
"K_uu_workout[27, 44]",0.142,0.138,0.014,0.379,0.004,0.009,870.283,1183.78,1.005
"K_uu_workout[27, 45]",0.141,0.137,0.014,0.377,0.004,0.009,877.297,1183.345,1.005
"K_uu_workout[27, 46]",0.14,0.137,0.014,0.374,0.004,0.009,878.466,1213.543,1.005
"K_uu_workout[27, 47]",0.139,0.136,0.014,0.372,0.004,0.009,879.205,1166.065,1.005
"K_uu_workout[27, 48]",0.138,0.136,0.013,0.369,0.004,0.009,873.35,1166.065,1.005
"K_uu_workout[27, 49]",0.137,0.135,0.012,0.367,0.004,0.009,868.407,1166.065,1.005
"K_uu_workout[28, 0]",0.13,0.131,0.008,0.353,0.004,0.009,873.103,988.949,1.005
"K_uu_workout[28, 1]",0.132,0.132,0.008,0.353,0.004,0.009,878.716,988.949,1.005
"K_uu_workout[28, 2]",0.133,0.133,0.009,0.355,0.004,0.009,876.465,977.757,1.005
"K_uu_workout[28, 3]",0.134,0.133,0.01,0.356,0.004,0.009,871.372,1002.539,1.005
"K_uu_workout[28, 4]",0.135,0.134,0.014,0.365,0.004,0.009,871.947,1098.725,1.005
"K_uu_workout[28, 5]",0.136,0.134,0.014,0.367,0.004,0.009,870.684,1166.065,1.005
"K_uu_workout[28, 6]",0.137,0.135,0.012,0.367,0.004,0.009,868.407,1166.065,1.005
"K_uu_workout[28, 7]",0.138,0.136,0.013,0.369,0.004,0.009,873.35,1166.065,1.005
"K_uu_workout[28, 8]",0.139,0.136,0.014,0.372,0.004,0.009,879.205,1166.065,1.005
"K_uu_workout[28, 9]",0.14,0.137,0.014,0.374,0.004,0.009,878.466,1213.543,1.005
"K_uu_workout[28, 10]",0.141,0.137,0.014,0.377,0.004,0.009,877.297,1183.345,1.005
"K_uu_workout[28, 11]",0.142,0.138,0.014,0.379,0.004,0.009,870.283,1183.78,1.005
"K_uu_workout[28, 12]",0.143,0.138,0.015,0.382,0.004,0.009,871.33,1095.46,1.005
"K_uu_workout[28, 13]",0.144,0.139,0.014,0.382,0.004,0.009,870.988,1080.592,1.005
"K_uu_workout[28, 14]",0.145,0.139,0.015,0.386,0.004,0.009,873.77,1081.783,1.005
"K_uu_workout[28, 15]",0.146,0.139,0.015,0.386,0.004,0.009,874.233,1045.947,1.005
"K_uu_workout[28, 16]",0.146,0.14,0.015,0.388,0.004,0.009,872.122,1046.093,1.005
"K_uu_workout[28, 17]",0.147,0.14,0.015,0.39,0.004,0.009,866.538,1046.093,1.005
"K_uu_workout[28, 18]",0.147,0.141,0.015,0.392,0.004,0.009,865.379,1046.093,1.005
"K_uu_workout[28, 19]",0.148,0.141,0.015,0.394,0.004,0.009,863.987,1025.23,1.005
"K_uu_workout[28, 20]",0.148,0.141,0.015,0.395,0.004,0.009,865.535,1036.573,1.005
"K_uu_workout[28, 21]",0.149,0.141,0.015,0.397,0.004,0.009,868.771,1042.365,1.005
"K_uu_workout[28, 22]",0.149,0.142,0.016,0.398,0.004,0.009,869.196,1042.365,1.005
"K_uu_workout[28, 23]",0.15,0.142,0.016,0.399,0.004,0.009,860.511,1053.985,1.005
"K_uu_workout[28, 24]",0.15,0.142,0.016,0.4,0.004,0.009,860.679,1053.985,1.005
"K_uu_workout[28, 25]",0.15,0.142,0.015,0.399,0.004,0.009,860.979,1053.985,1.005
"K_uu_workout[28, 26]",0.15,0.142,0.015,0.399,0.004,0.009,861.652,1049.551,1.005
"K_uu_workout[28, 27]",0.15,0.142,0.015,0.399,0.004,0.009,860.96,1074.01,1.005
"K_uu_workout[28, 28]",0.15,0.142,0.015,0.399,0.004,0.009,860.642,1074.01,1.005
"K_uu_workout[28, 29]",0.15,0.142,0.015,0.399,0.004,0.009,860.96,1074.01,1.005
"K_uu_workout[28, 30]",0.15,0.142,0.015,0.399,0.004,0.009,861.652,1049.551,1.005
"K_uu_workout[28, 31]",0.15,0.142,0.015,0.399,0.004,0.009,860.979,1053.985,1.005
"K_uu_workout[28, 32]",0.15,0.142,0.016,0.4,0.004,0.009,860.679,1053.985,1.005
"K_uu_workout[28, 33]",0.15,0.142,0.016,0.399,0.004,0.009,860.511,1053.985,1.005
"K_uu_workout[28, 34]",0.149,0.142,0.016,0.398,0.004,0.009,869.196,1042.365,1.005
"K_uu_workout[28, 35]",0.149,0.141,0.015,0.397,0.004,0.009,868.771,1042.365,1.005
"K_uu_workout[28, 36]",0.148,0.141,0.015,0.395,0.004,0.009,865.535,1036.573,1.005
"K_uu_workout[28, 37]",0.148,0.141,0.015,0.394,0.004,0.009,863.987,1025.23,1.005
"K_uu_workout[28, 38]",0.147,0.141,0.015,0.392,0.004,0.009,865.379,1046.093,1.005
"K_uu_workout[28, 39]",0.147,0.14,0.015,0.39,0.004,0.009,866.538,1046.093,1.005
"K_uu_workout[28, 40]",0.146,0.14,0.015,0.388,0.004,0.009,872.122,1046.093,1.005
"K_uu_workout[28, 41]",0.146,0.139,0.015,0.386,0.004,0.009,874.233,1045.947,1.005
"K_uu_workout[28, 42]",0.145,0.139,0.015,0.386,0.004,0.009,873.77,1081.783,1.005
"K_uu_workout[28, 43]",0.144,0.139,0.014,0.382,0.004,0.009,870.988,1080.592,1.005
"K_uu_workout[28, 44]",0.143,0.138,0.015,0.382,0.004,0.009,871.33,1095.46,1.005
"K_uu_workout[28, 45]",0.142,0.138,0.014,0.379,0.004,0.009,870.283,1183.78,1.005
"K_uu_workout[28, 46]",0.141,0.137,0.014,0.377,0.004,0.009,877.297,1183.345,1.005
"K_uu_workout[28, 47]",0.14,0.137,0.014,0.374,0.004,0.009,878.466,1213.543,1.005
"K_uu_workout[28, 48]",0.139,0.136,0.014,0.372,0.004,0.009,879.205,1166.065,1.005
"K_uu_workout[28, 49]",0.138,0.136,0.013,0.369,0.004,0.009,873.35,1166.065,1.005
"K_uu_workout[29, 0]",0.129,0.131,0.007,0.352,0.004,0.009,871.036,988.276,1.005
"K_uu_workout[29, 1]",0.13,0.131,0.008,0.353,0.004,0.009,873.103,988.949,1.005
"K_uu_workout[29, 2]",0.132,0.132,0.008,0.353,0.004,0.009,878.716,988.949,1.005
"K_uu_workout[29, 3]",0.133,0.133,0.009,0.355,0.004,0.009,876.465,977.757,1.005
"K_uu_workout[29, 4]",0.134,0.133,0.01,0.356,0.004,0.009,871.372,1002.539,1.005
"K_uu_workout[29, 5]",0.135,0.134,0.014,0.365,0.004,0.009,871.947,1098.725,1.005
"K_uu_workout[29, 6]",0.136,0.134,0.014,0.367,0.004,0.009,870.684,1166.065,1.005
"K_uu_workout[29, 7]",0.137,0.135,0.012,0.367,0.004,0.009,868.407,1166.065,1.005
"K_uu_workout[29, 8]",0.138,0.136,0.013,0.369,0.004,0.009,873.35,1166.065,1.005
"K_uu_workout[29, 9]",0.139,0.136,0.014,0.372,0.004,0.009,879.205,1166.065,1.005
"K_uu_workout[29, 10]",0.14,0.137,0.014,0.374,0.004,0.009,878.466,1213.543,1.005
"K_uu_workout[29, 11]",0.141,0.137,0.014,0.377,0.004,0.009,877.297,1183.345,1.005
"K_uu_workout[29, 12]",0.142,0.138,0.014,0.379,0.004,0.009,870.283,1183.78,1.005
"K_uu_workout[29, 13]",0.143,0.138,0.015,0.382,0.004,0.009,871.33,1095.46,1.005
"K_uu_workout[29, 14]",0.144,0.139,0.014,0.382,0.004,0.009,870.988,1080.592,1.005
"K_uu_workout[29, 15]",0.145,0.139,0.015,0.386,0.004,0.009,873.77,1081.783,1.005
"K_uu_workout[29, 16]",0.146,0.139,0.015,0.386,0.004,0.009,874.233,1045.947,1.005
"K_uu_workout[29, 17]",0.146,0.14,0.015,0.388,0.004,0.009,872.122,1046.093,1.005
"K_uu_workout[29, 18]",0.147,0.14,0.015,0.39,0.004,0.009,866.538,1046.093,1.005
"K_uu_workout[29, 19]",0.147,0.141,0.015,0.392,0.004,0.009,865.379,1046.093,1.005
"K_uu_workout[29, 20]",0.148,0.141,0.015,0.394,0.004,0.009,863.987,1025.23,1.005
"K_uu_workout[29, 21]",0.148,0.141,0.015,0.395,0.004,0.009,865.535,1036.573,1.005
"K_uu_workout[29, 22]",0.149,0.141,0.015,0.397,0.004,0.009,868.771,1042.365,1.005
"K_uu_workout[29, 23]",0.149,0.142,0.016,0.398,0.004,0.009,869.196,1042.365,1.005
"K_uu_workout[29, 24]",0.15,0.142,0.016,0.399,0.004,0.009,860.511,1053.985,1.005
"K_uu_workout[29, 25]",0.15,0.142,0.016,0.4,0.004,0.009,860.679,1053.985,1.005
"K_uu_workout[29, 26]",0.15,0.142,0.015,0.399,0.004,0.009,860.979,1053.985,1.005
"K_uu_workout[29, 27]",0.15,0.142,0.015,0.399,0.004,0.009,861.652,1049.551,1.005
"K_uu_workout[29, 28]",0.15,0.142,0.015,0.399,0.004,0.009,860.96,1074.01,1.005
"K_uu_workout[29, 29]",0.15,0.142,0.015,0.399,0.004,0.009,860.642,1074.01,1.005
"K_uu_workout[29, 30]",0.15,0.142,0.015,0.399,0.004,0.009,860.96,1074.01,1.005
"K_uu_workout[29, 31]",0.15,0.142,0.015,0.399,0.004,0.009,861.652,1049.551,1.005
"K_uu_workout[29, 32]",0.15,0.142,0.015,0.399,0.004,0.009,860.979,1053.985,1.005
"K_uu_workout[29, 33]",0.15,0.142,0.016,0.4,0.004,0.009,860.679,1053.985,1.005
"K_uu_workout[29, 34]",0.15,0.142,0.016,0.399,0.004,0.009,860.511,1053.985,1.005
"K_uu_workout[29, 35]",0.149,0.142,0.016,0.398,0.004,0.009,869.196,1042.365,1.005
"K_uu_workout[29, 36]",0.149,0.141,0.015,0.397,0.004,0.009,868.771,1042.365,1.005
"K_uu_workout[29, 37]",0.148,0.141,0.015,0.395,0.004,0.009,865.535,1036.573,1.005
"K_uu_workout[29, 38]",0.148,0.141,0.015,0.394,0.004,0.009,863.987,1025.23,1.005
"K_uu_workout[29, 39]",0.147,0.141,0.015,0.392,0.004,0.009,865.379,1046.093,1.005
"K_uu_workout[29, 40]",0.147,0.14,0.015,0.39,0.004,0.009,866.538,1046.093,1.005
"K_uu_workout[29, 41]",0.146,0.14,0.015,0.388,0.004,0.009,872.122,1046.093,1.005
"K_uu_workout[29, 42]",0.146,0.139,0.015,0.386,0.004,0.009,874.233,1045.947,1.005
"K_uu_workout[29, 43]",0.145,0.139,0.015,0.386,0.004,0.009,873.77,1081.783,1.005
"K_uu_workout[29, 44]",0.144,0.139,0.014,0.382,0.004,0.009,870.988,1080.592,1.005
"K_uu_workout[29, 45]",0.143,0.138,0.015,0.382,0.004,0.009,871.33,1095.46,1.005
"K_uu_workout[29, 46]",0.142,0.138,0.014,0.379,0.004,0.009,870.283,1183.78,1.005
"K_uu_workout[29, 47]",0.141,0.137,0.014,0.377,0.004,0.009,877.297,1183.345,1.005
"K_uu_workout[29, 48]",0.14,0.137,0.014,0.374,0.004,0.009,878.466,1213.543,1.005
"K_uu_workout[29, 49]",0.139,0.136,0.014,0.372,0.004,0.009,879.205,1166.065,1.005
"K_uu_workout[30, 0]",0.128,0.13,0.006,0.348,0.004,0.009,872.01,956.85,1.005
"K_uu_workout[30, 1]",0.129,0.131,0.007,0.352,0.004,0.009,871.036,988.276,1.005
"K_uu_workout[30, 2]",0.13,0.131,0.008,0.353,0.004,0.009,873.103,988.949,1.005
"K_uu_workout[30, 3]",0.132,0.132,0.008,0.353,0.004,0.009,878.716,988.949,1.005
"K_uu_workout[30, 4]",0.133,0.133,0.009,0.355,0.004,0.009,876.465,977.757,1.005
"K_uu_workout[30, 5]",0.134,0.133,0.01,0.356,0.004,0.009,871.372,1002.539,1.005
"K_uu_workout[30, 6]",0.135,0.134,0.014,0.365,0.004,0.009,871.947,1098.725,1.005
"K_uu_workout[30, 7]",0.136,0.134,0.014,0.367,0.004,0.009,870.684,1166.065,1.005
"K_uu_workout[30, 8]",0.137,0.135,0.012,0.367,0.004,0.009,868.407,1166.065,1.005
"K_uu_workout[30, 9]",0.138,0.136,0.013,0.369,0.004,0.009,873.35,1166.065,1.005
"K_uu_workout[30, 10]",0.139,0.136,0.014,0.372,0.004,0.009,879.205,1166.065,1.005
"K_uu_workout[30, 11]",0.14,0.137,0.014,0.374,0.004,0.009,878.466,1213.543,1.005
"K_uu_workout[30, 12]",0.141,0.137,0.014,0.377,0.004,0.009,877.297,1183.345,1.005
"K_uu_workout[30, 13]",0.142,0.138,0.014,0.379,0.004,0.009,870.283,1183.78,1.005
"K_uu_workout[30, 14]",0.143,0.138,0.015,0.382,0.004,0.009,871.33,1095.46,1.005
"K_uu_workout[30, 15]",0.144,0.139,0.014,0.382,0.004,0.009,870.988,1080.592,1.005
"K_uu_workout[30, 16]",0.145,0.139,0.015,0.386,0.004,0.009,873.77,1081.783,1.005
"K_uu_workout[30, 17]",0.146,0.139,0.015,0.386,0.004,0.009,874.233,1045.947,1.005
"K_uu_workout[30, 18]",0.146,0.14,0.015,0.388,0.004,0.009,872.122,1046.093,1.005
"K_uu_workout[30, 19]",0.147,0.14,0.015,0.39,0.004,0.009,866.538,1046.093,1.005
"K_uu_workout[30, 20]",0.147,0.141,0.015,0.392,0.004,0.009,865.379,1046.093,1.005
"K_uu_workout[30, 21]",0.148,0.141,0.015,0.394,0.004,0.009,863.987,1025.23,1.005
"K_uu_workout[30, 22]",0.148,0.141,0.015,0.395,0.004,0.009,865.535,1036.573,1.005
